NAME,AGE,TEAM_RANK,POSITION,MATCHES_PLAYED,STARTS,MINUTES,GOALS,ASSISTS,PENALTIES,PENALTIES_MISSED,YELLOW_CARDS,RED_CARDS,xG,xA,OWN_GOALS,GOALS_CONCEDED,CLEAN_SHEETS,SAVES,POINTS,NEXT_SEASON_POINTS
tammy abraham,19,18.0,FW,31,15,1726,5,1,0,0,0,0,6.8,1.6,0,31,4,0,86,0
alvaro morata,24,5.0,FW,31,24,2061,11,6,0,0,7,0,13.0,3.1,0,19,11,0,122,46
ryan fraser,23,12.0,"MF,DF",26,23,2004,5,3,0,0,0,0,1.8,3.3,0,38,2,0,97,181
bruno,36,15.0,DF,100,92,8064,0,0,0,0,12,0,0.4,2.4,0,102,22,0,208,97
olivier giroud,30,5.5,FW,29,7,1001,7,2,0,0,0,0,6.9,2.9,0,22,10,0,154,55
jonas lossl,28,16.0,GK,38,38,3420,0,1,0,0,1,0,0.0,0.6,1,58,10,103,135,99
sead kolasinac,24,6.0,DF,27,25,2147,2,4,0,0,3,0,2.2,3.5,0,30,10,0,108,81
alexander sørloth,21,11.0,FW,4,4,360,0,0,0,0,0,0,0.5,0.5,0,9,0,0,8,12
christian atsu,25,10.0,"FW,MF",28,19,1784,2,2,0,0,1,0,4.0,2.6,0,22,6,0,78,55
kelechi iheanacho,20,9.0,"FW,MF",21,7,830,3,3,0,0,2,0,4.1,2.3,0,17,1,0,54,58
andy carroll,28,13.0,FW,16,7,751,3,0,0,0,6,2,1.8,0.5,0,13,3,0,36,12
jeffrey schlupp,24,11.0,"DF,MF",24,21,1745,0,1,0,0,3,0,1.2,1.0,0,30,3,0,50,91
daley blind,27,2.0,"DF,MF",7,4,362,0,0,0,0,0,0,0.1,0.2,0,0,4,0,28,0
ezequiel schelotto,28,15.0,DF,20,15,1318,0,0,0,0,3,0,0.2,0.6,0,30,0,0,20,0
matthew lowton,28,7.0,DF,26,25,2295,0,3,0,0,1,0,0.1,1.6,0,26,8,0,89,34
victor wanyama,26,3.0,MF,18,8,846,1,0,0,0,2,0,0.5,0.2,0,11,2,0,32,24
abdoulaye doucoure,24,14.0,MF,37,37,3324,7,3,0,0,10,0,3.5,2.3,0,63,9,0,136,124
ashley westwood,27,7.0,MF,19,12,1111,0,1,0,0,2,0,0.6,1.0,0,17,2,0,35,111
martin dubravka,28,10.0,GK,12,12,1080,0,0,0,0,0,0,0.0,0.0,0,11,4,26,53,131
stephen ward,31,7.0,DF,28,28,2460,1,1,0,0,1,0,0.3,1.4,0,27,9,0,102,7
ben hamer,29,9.0,GK,4,3,275,0,0,0,0,0,0,0.0,0.0,0,7,1,6,9,9
konstantinos mavropanos,19,6.0,DF,3,3,195,0,0,0,0,0,1,0.0,0.0,0,5,1,0,4,3
harry winks,21,3.0,MF,16,9,774,0,1,0,0,0,0,0.1,0.5,0,9,4,0,31,53
nathaniel chalobah,22,14.0,MF,6,5,447,0,0,0,0,1,0,0.8,0.0,0,7,3,0,13,10
alberto moreno,25,4.0,DF,16,14,1266,0,0,0,0,1,0,0.5,0.8,0,19,6,0,52,4
scott dann,30,11.0,DF,17,16,1435,1,0,0,0,4,0,2.3,0.2,0,26,1,0,32,23
wesley hoedt,23,17.0,DF,28,28,2520,0,1,0,0,7,0,1.3,0.5,0,42,5,0,74,29
kasper schmeichel,30,9.0,GK,33,33,2965,0,0,0,0,3,0,0.0,0.1,1,47,8,93,123,120
pape souare,27,11.0,DF,1,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1
marcos rojo,27,2.0,DF,9,8,640,0,0,0,0,6,0,0.2,0.1,0,8,3,0,23,2
danny welbeck,26,6.0,"FW,MF",28,12,1194,5,2,0,0,1,0,5.5,1.4,0,21,4,0,70,19
manuel lanzini,24,13.0,"MF,FW",27,23,2042,5,6,0,1,4,0,3.9,4.1,0,44,6,0,106,31
willy caballero,35,5.0,GK,3,3,270,0,0,0,0,0,0,0.0,0.0,0,4,1,7,11,13
marvin zeegelaar,26,14.0,DF,12,12,994,0,1,0,0,4,1,0.0,1.0,0,18,2,0,28,0
ragnar klavan,31,4.0,DF,19,16,1451,1,0,0,0,0,0,0.9,0.2,0,15,8,0,78,0
marc albrighton,27,9.0,"MF,FW",34,30,2538,2,7,0,0,5,1,1.6,5.7,0,42,8,0,107,63
kurt zouma,22,19.0,DF,34,32,2888,1,0,0,0,1,0,1.3,0.4,0,50,7,0,87,112
gerard deulofeu,23,14.0,"FW,MF",7,5,435,1,0,0,0,0,0,0.5,0.6,0,3,2,0,25,133
pierre-emerick aubameyang,28,6.0,FW,13,12,1057,10,4,1,1,0,0,8.4,1.1,0,15,4,0,87,205
joshua king,25,12.0,"FW,MF",33,27,2453,8,3,2,0,3,0,6.5,4.9,0,38,7,0,110,141
