,Name,Clean Sheets,Goals Conceded,Own Goals,Saves,Cost,Points
0,name,Clean Sheets,Conceded,Own Goals,Saves,Cost,Points
579,andy lonergan,0,0,0,0,39,0
580,loris karius,0,4,0,4,39,1
581,paul dummett,0,1,0,0,39,5
582,pelly ruddock mpanzu,1,29,0,0,46,35
583,manor solomon,0,2,0,0,51,14
584,pau torres,6,37,0,0,46,85
585,jurrien timber,0,0,0,0,46,0
586,tahith chong,0,51,0,0,44,78
587,anis slimane,1,14,1,0,47,14
588,ashley young,9,34,1,0,44,76
589,angelo gabriel borges damaceno,0,0,0,0,50,0
590,matheus santos carneiro da cunha,6,46,0,0,55,135
591,willian borges da silva,9,28,0,0,53,94
592,yasser larouci,0,11,0,0,43,10
593,benie traore,0,13,0,0,51,11
594,zeki amdouni,5,41,0,0,51,85
595,milos kerkez,6,37,1,0,44,59
596,james trafford,2,62,0,106,44,70
597,andre onana,9,58,0,149,50,133
598,matt doherty,1,21,0,0,43,41
599,moussa diaby,8,40,0,0,63,142
600,nathan redmond,0,5,0,0,47,11
601,arnaut danjuma groeneveld,2,10,0,0,52,26
602,issa kabore,0,39,1,0,40,34
603,harvey barnes,2,10,0,0,62,64
604,olu aina,2,39,0,0,45,45
605,luca koleosho,3,23,0,0,48,40
606,igor julio dos santos de paulo,2,26,0,0,43,37
607,ionut radu,0,7,0,5,43,2
608,jacob bruun larsen,3,23,0,0,48,82
609,ian maatsen,0,5,0,0,51,11
610,calvin bassey,6,42,0,0,44,66
611,axel disasi,5,50,1,0,49,71
612,lesley ugochukwu,1,6,0,0,44,13
613,thomas kaminski,2,85,0,144,45,86
614,matheus franca de oliveira,0,7,0,0,48,16
615,josko gvardiol,9,23,0,0,52,123
616,rasmus højlund,6,35,0,0,71,112
617,omari kellyman,0,1,0,0,45,2
618,ben greenwood,0,0,0,0,40,0
619,michael olakigbe,0,0,0,0,45,8
620,jack hinshelwood,2,17,0,0,45,42
621,owen dodgson,0,0,0,0,40,0
622,mason burstow,0,1,0,0,45,2
623,lewis dobbin,1,3,0,0,45,18
624,luc de fougerolles,0,0,0,0,39,0
625,jarell quansah,2,15,0,0,40,49
